id,customer_email,support_reply,category
0,My order #93810 for the mechanical keyboard was supposed to arrive 3 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your mechanical keyboard (order #93810) is delayed. I've checked with the carrier — it's currently in transit and expected within 3 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Lena",Shipping
1,I returned my standing desk two weeks ago (order #39256) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned standing desk for order #39256. I've just processed your full refund — it will appear on your original payment method within 7 business days. You'll get an email confirmation shortly. — Priya",Refund
2,My mechanical keyboard from order #81482 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your mechanical keyboard arrived damaged. That's not the experience we want. I've shipped a replacement mechanical keyboard today via express (order #81482), arriving in 2 business days, and included a return label for the damaged unit. No further action needed on your end. — Nina",Replacement
3,I was charged twice for order #13905. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #13905. I've reversed the extra charge immediately; it will drop off your statement within 6 business days. Apologies for the worry. — Sam",Billing
4,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Sam",Subscription
5,The desk lamp won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your desk lamp connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Sam",Technical Support
6,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Jordan",Password Reset
7,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Jordan",Account Issues
8,"Please cancel my order #54118 for the mechanical keyboard, I ordered by mistake.","Hi, done — I've cancelled order #54118 for the mechanical keyboard before it shipped, so you won't be charged. Any pending authorisation will drop off within 2 business days. Thanks for catching it early. — Nina",Cancellation
9,"Do you ship internationally, and how long does it take to Chicago?","Hi, yes! We ship to most countries. To Chicago, standard international delivery is typically 2 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Lena",General Questions
10,I received the wrong item for order #70217. I ordered a desk lamp but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #70217. I've created a prepaid return label for the incorrect item and shipped the correct desk lamp today at no cost to you. It should arrive in 2 business days. Apologies again for the inconvenience. — Nina",Shipping
11,The 4K monitor didn't meet my expectations. I'd like a refund for order #82357.,"Hi, I'm sorry the 4K monitor wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #82357. Once you drop off the item using the attached label, the refund of the full amount posts within 6 business days. — Marco",Refund
12,The mechanical keyboard I bought stopped working after a week. Can I get a replacement? Order #35203.,"Hi, sorry to hear the mechanical keyboard failed so quickly — it's covered under warranty. I've queued a replacement for order #35203 shipping today, ETA 4 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Sam",Replacement
13,"There's a charge on my card I don't recognise, possibly related to my office chair purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your office chair order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Nina",Billing
14,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Marco",Subscription
15,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Priya",Technical Support
16,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Sam",Password Reset
17,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Sam",Account Issues
18,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Alex",Cancellation
19,What's your warranty policy on the 4K monitor?,"Hi, great question. The 4K monitor comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Sam",General Questions
20,My order #51245 for the office chair was supposed to arrive 5 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your office chair (order #51245) is delayed. I've checked with the carrier — it's currently in transit and expected within 5 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Tom",Shipping
21,I returned my webcam two weeks ago (order #94259) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned webcam for order #94259. I've just processed your full refund — it will appear on your original payment method within 3 business days. You'll get an email confirmation shortly. — Lena",Refund
22,My desk lamp from order #42325 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your desk lamp arrived damaged. That's not the experience we want. I've shipped a replacement desk lamp today via express (order #42325), arriving in 7 business days, and included a return label for the damaged unit. No further action needed on your end. — Lena",Replacement
23,I was charged twice for order #86622. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #86622. I've reversed the extra charge immediately; it will drop off your statement within 4 business days. Apologies for the worry. — Nina",Billing
24,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Tom",Subscription
25,The mechanical keyboard won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your mechanical keyboard connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Jordan",Technical Support
26,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Nina",Password Reset
27,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Lena",Account Issues
28,"Please cancel my order #11504 for the mechanical keyboard, I ordered by mistake.","Hi, done — I've cancelled order #11504 for the mechanical keyboard before it shipped, so you won't be charged. Any pending authorisation will drop off within 7 business days. Thanks for catching it early. — Lena",Cancellation
29,"Do you ship internationally, and how long does it take to Seattle?","Hi, yes! We ship to most countries. To Seattle, standard international delivery is typically 3 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Nina",General Questions
30,I received the wrong item for order #69470. I ordered a wireless headphones but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #69470. I've created a prepaid return label for the incorrect item and shipped the correct wireless headphones today at no cost to you. It should arrive in 6 business days. Apologies again for the inconvenience. — Lena",Shipping
31,The desk lamp didn't meet my expectations. I'd like a refund for order #33416.,"Hi, I'm sorry the desk lamp wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #33416. Once you drop off the item using the attached label, the refund of the full amount posts within 7 business days. — Lena",Refund
32,The ergonomic mouse I bought stopped working after a week. Can I get a replacement? Order #76540.,"Hi, sorry to hear the ergonomic mouse failed so quickly — it's covered under warranty. I've queued a replacement for order #76540 shipping today, ETA 4 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Jordan",Replacement
33,"There's a charge on my card I don't recognise, possibly related to my desk lamp purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your desk lamp order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Alex",Billing
34,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Priya",Subscription
35,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Sam",Technical Support
36,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Tom",Password Reset
37,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Tom",Account Issues
38,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Nina",Cancellation
39,What's your warranty policy on the office chair?,"Hi, great question. The office chair comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Lena",General Questions
40,My order #98039 for the USB-C hub was supposed to arrive 2 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your USB-C hub (order #98039) is delayed. I've checked with the carrier — it's currently in transit and expected within 2 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Tom",Shipping
41,I returned my office chair two weeks ago (order #42493) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned office chair for order #42493. I've just processed your full refund — it will appear on your original payment method within 2 business days. You'll get an email confirmation shortly. — Marco",Refund
42,My desk lamp from order #87110 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your desk lamp arrived damaged. That's not the experience we want. I've shipped a replacement desk lamp today via express (order #87110), arriving in 2 business days, and included a return label for the damaged unit. No further action needed on your end. — Sam",Replacement
43,I was charged twice for order #19305. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #19305. I've reversed the extra charge immediately; it will drop off your statement within 2 business days. Apologies for the worry. — Priya",Billing
44,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Sam",Subscription
45,The webcam won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your webcam connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Jordan",Technical Support
46,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Sam",Password Reset
47,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Priya",Account Issues
48,"Please cancel my order #66498 for the USB-C hub, I ordered by mistake.","Hi, done — I've cancelled order #66498 for the USB-C hub before it shipped, so you won't be charged. Any pending authorisation will drop off within 5 business days. Thanks for catching it early. — Nina",Cancellation
49,"Do you ship internationally, and how long does it take to Austin?","Hi, yes! We ship to most countries. To Austin, standard international delivery is typically 7 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Nina",General Questions
50,I received the wrong item for order #54473. I ordered a mechanical keyboard but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #54473. I've created a prepaid return label for the incorrect item and shipped the correct mechanical keyboard today at no cost to you. It should arrive in 3 business days. Apologies again for the inconvenience. — Sam",Shipping
51,The webcam didn't meet my expectations. I'd like a refund for order #80292.,"Hi, I'm sorry the webcam wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #80292. Once you drop off the item using the attached label, the refund of the full amount posts within 3 business days. — Nina",Refund
52,The webcam I bought stopped working after a week. Can I get a replacement? Order #46509.,"Hi, sorry to hear the webcam failed so quickly — it's covered under warranty. I've queued a replacement for order #46509 shipping today, ETA 5 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Priya",Replacement
53,"There's a charge on my card I don't recognise, possibly related to my mechanical keyboard purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your mechanical keyboard order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Alex",Billing
54,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Tom",Subscription
55,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Jordan",Technical Support
56,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Tom",Password Reset
57,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Tom",Account Issues
58,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Alex",Cancellation
59,What's your warranty policy on the wireless headphones?,"Hi, great question. The wireless headphones comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Marco",General Questions
60,My order #16572 for the ergonomic mouse was supposed to arrive 2 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your ergonomic mouse (order #16572) is delayed. I've checked with the carrier — it's currently in transit and expected within 2 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Jordan",Shipping
61,I returned my mechanical keyboard two weeks ago (order #76562) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned mechanical keyboard for order #76562. I've just processed your full refund — it will appear on your original payment method within 6 business days. You'll get an email confirmation shortly. — Priya",Refund
62,My office chair from order #18907 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your office chair arrived damaged. That's not the experience we want. I've shipped a replacement office chair today via express (order #18907), arriving in 6 business days, and included a return label for the damaged unit. No further action needed on your end. — Priya",Replacement
63,I was charged twice for order #42271. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #42271. I've reversed the extra charge immediately; it will drop off your statement within 6 business days. Apologies for the worry. — Alex",Billing
64,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Marco",Subscription
65,The USB-C hub won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your USB-C hub connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Lena",Technical Support
66,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Marco",Password Reset
67,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Priya",Account Issues
68,"Please cancel my order #80468 for the office chair, I ordered by mistake.","Hi, done — I've cancelled order #80468 for the office chair before it shipped, so you won't be charged. Any pending authorisation will drop off within 3 business days. Thanks for catching it early. — Lena",Cancellation
69,"Do you ship internationally, and how long does it take to Denver?","Hi, yes! We ship to most countries. To Denver, standard international delivery is typically 4 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Marco",General Questions
70,I received the wrong item for order #30676. I ordered a webcam but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #30676. I've created a prepaid return label for the incorrect item and shipped the correct webcam today at no cost to you. It should arrive in 6 business days. Apologies again for the inconvenience. — Lena",Shipping
71,The desk lamp didn't meet my expectations. I'd like a refund for order #95717.,"Hi, I'm sorry the desk lamp wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #95717. Once you drop off the item using the attached label, the refund of the full amount posts within 7 business days. — Lena",Refund
72,The standing desk I bought stopped working after a week. Can I get a replacement? Order #23577.,"Hi, sorry to hear the standing desk failed so quickly — it's covered under warranty. I've queued a replacement for order #23577 shipping today, ETA 2 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Priya",Replacement
73,"There's a charge on my card I don't recognise, possibly related to my standing desk purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your standing desk order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Lena",Billing
74,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Lena",Subscription
75,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Priya",Technical Support
76,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Alex",Password Reset
77,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Tom",Account Issues
78,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Priya",Cancellation
79,What's your warranty policy on the desk lamp?,"Hi, great question. The desk lamp comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Marco",General Questions
80,My order #82420 for the standing desk was supposed to arrive 2 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your standing desk (order #82420) is delayed. I've checked with the carrier — it's currently in transit and expected within 2 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Jordan",Shipping
81,I returned my USB-C hub two weeks ago (order #50404) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned USB-C hub for order #50404. I've just processed your full refund — it will appear on your original payment method within 3 business days. You'll get an email confirmation shortly. — Marco",Refund
82,My office chair from order #99399 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your office chair arrived damaged. That's not the experience we want. I've shipped a replacement office chair today via express (order #99399), arriving in 4 business days, and included a return label for the damaged unit. No further action needed on your end. — Priya",Replacement
83,I was charged twice for order #83385. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #83385. I've reversed the extra charge immediately; it will drop off your statement within 3 business days. Apologies for the worry. — Jordan",Billing
84,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Alex",Subscription
85,The laptop stand won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your laptop stand connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Sam",Technical Support
86,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Alex",Password Reset
87,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Marco",Account Issues
88,"Please cancel my order #39831 for the office chair, I ordered by mistake.","Hi, done — I've cancelled order #39831 for the office chair before it shipped, so you won't be charged. Any pending authorisation will drop off within 5 business days. Thanks for catching it early. — Sam",Cancellation
89,"Do you ship internationally, and how long does it take to Austin?","Hi, yes! We ship to most countries. To Austin, standard international delivery is typically 4 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Lena",General Questions
90,I received the wrong item for order #94080. I ordered a desk lamp but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #94080. I've created a prepaid return label for the incorrect item and shipped the correct desk lamp today at no cost to you. It should arrive in 2 business days. Apologies again for the inconvenience. — Marco",Shipping
91,The 4K monitor didn't meet my expectations. I'd like a refund for order #25118.,"Hi, I'm sorry the 4K monitor wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #25118. Once you drop off the item using the attached label, the refund of the full amount posts within 2 business days. — Lena",Refund
92,The ergonomic mouse I bought stopped working after a week. Can I get a replacement? Order #24208.,"Hi, sorry to hear the ergonomic mouse failed so quickly — it's covered under warranty. I've queued a replacement for order #24208 shipping today, ETA 7 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Marco",Replacement
93,"There's a charge on my card I don't recognise, possibly related to my laptop stand purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your laptop stand order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Priya",Billing
94,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Alex",Subscription
95,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Sam",Technical Support
96,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Marco",Password Reset
97,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Lena",Account Issues
98,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Nina",Cancellation
99,What's your warranty policy on the desk lamp?,"Hi, great question. The desk lamp comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Sam",General Questions
